time_iso,mode,fps,visibility_ok,num_dets,top_objects,hint,center_cost,corridor_zones,last_speech
2026-02-08T22:28:41,street,99.6,1,0,,forward,,0,P1:person approaching in front. | P0:Warning. person very close on your left. | P0:Warning. person very close in front of you.
2026-02-08T22:28:41,street,93.7,1,0,,forward,,0,P1:person approaching in front. | P0:Warning. person very close on your left. | P0:Warning. person very close in front of you.
2026-02-08T22:28:42,street,93.7,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:42,street,95.9,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:43,street,95.9,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:43,street,93.7,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:44,street,93.7,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:44,street,96.4,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:45,street,96.4,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:46,street,95.9,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:46,street,95.9,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:47,street,98.9,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:47,street,98.9,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:49,street,6.6,1,0,,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P2:Path is clear.
2026-02-08T22:28:49,street,6.6,1,1,person:very close:left,forward,,0,P0:Warning. person very close in front of you. | P2:Path is clear. | P0:Warning. person very close on your left.
2026-02-08T22:28:50,street,94.7,1,1,person:very close:left,forward,,0,P0:Warning. person very close in front of you. | P2:Path is clear. | P0:Warning. person very close on your left.
2026-02-08T22:28:50,street,94.7,1,1,person:very close:center,forward,,0,P2:Path is clear. | P0:Warning. person very close on your left. | P0:Warning. person very close in front of you.
2026-02-08T22:28:51,street,43.9,1,1,person:very close:center,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P1:person approaching in front.
2026-02-08T22:28:51,street,43.9,1,1,person:very close:center,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P1:person approaching in front.
2026-02-08T22:28:52,street,140.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P1:person approaching in front.
2026-02-08T22:28:52,street,140.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P1:person approaching in front.
2026-02-08T22:28:53,street,140.3,1,1,person:very close:center,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P1:person approaching in front.
2026-02-08T22:28:53,street,140.3,1,1,person:very close:center,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P1:person approaching in front.
2026-02-08T22:28:54,street,145.4,1,1,person:very close:center,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P1:person approaching in front.
2026-02-08T22:28:54,street,145.4,1,1,person:very close:center,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P1:person approaching in front.
2026-02-08T22:28:55,street,144.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close on your left. | P0:Warning. person very close in front of you. | P1:person approaching in front.
2026-02-08T22:28:55,street,144.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P1:person approaching in front. | P1:person approaching in front.
2026-02-08T22:28:56,street,135.7,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P1:person approaching in front. | P1:person approaching in front.
2026-02-08T22:28:56,street,135.7,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P1:person approaching in front. | P1:person approaching in front.
